Artist,Track
A Taste Of Honey,Boogie Oogie Oogie
A Taste Of Honey,Disco Dancin' - 2004 - Remastered
A Taste Of Honey,Distantt
A Taste Of Honey,Do It Good
A Taste Of Honey,If We Loved
A Taste Of Honey,Rescue Me - Remastered
A Taste Of Honey,Sky High
A Taste Of Honey,This Love Of Ours
A Taste Of Honey,World Spin
ABBA,Chiquitita
ABBA,Dancing Queen
ABBA,Fernando
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight)
ABBA,"Knowing Me, Knowing You"
ABBA,SOS
ABBA,Summer Night City
ABBA,Take A Chance On Me
ABBA,The Name Of The Game
ABBA,Voulez-Vous
Andrea True Connection,Call Me
Andrea True Connection,Fill Me Up (Heart to Heart)
Andrea True Connection,It's All Up to You
Andrea True Connection,Keep It Up Longer
Andrea True Connection,Life Is What You Make It
Andrea True Connection,"More, More, More"
Andrea True Connection,N.Y. You Got Me Dancing
Andrea True Connection,Party Line
Andrea True Connection,Sally Can't Dance
Andrea True Connection,"What's Your Name, What's Your Number"
Aretha Franklin,"Baby, I Love You"
Aretha Franklin,Freeway Of Love
Aretha Franklin,Get It Right
Aretha Franklin,I Knew You Were Waiting (For Me)
Aretha Franklin,Jump to It - Single Version
Aretha Franklin,Respect
Aretha Franklin,Until You Come Back to Me (That's What I'm Gonna Do)
Ashford & Simpson,"Don't Cost You Nothing - 12"" Disco Mix"
Ashford & Simpson,Found a Cure
Ashford & Simpson,It Seems to Hang On
Ashford & Simpson,"Love Don't Make It Right - 12"" Disco Mix"
Ashford & Simpson,Send It
Ashford & Simpson,Solid
Ashford & Simpson,Stay Free
Ashford & Simpson,Street Corner
B.T. Express,Can't Stop Groovin' Now (Wanna Do It Some More)
B.T. Express,Do It ('Til You're Satisfied)
B.T. Express,Energy Level
B.T. Express,Express
B.T. Express,Give up the Funk (Let's Dance)
B.T. Express,You Got It – I Want It
Barrabas,Hi Jack
Barrabas,Mellow Blow
Barrabas,On The Road Again
Barrabas,Wild Safari
Barrabas,Woman
Barry White,"Can't Get Enough Of Your Love, Babe"
Barry White,I'm Gonna Love You Just A Little More Baby
Barry White,Let The Music Play - Single Version
Barry White,"Never, Never Gonna Give Ya Up"
Barry White,"Playing Your Game, Baby"
Barry White,What Am I Gonna Do With You
Barry White,"You're The First, The Last, My Everything - Single Version"
Bee Gees,Boogie Child
Bee Gees,How Deep Is Your Love
Bee Gees,Jive Talkin'
Bee Gees,Love You Inside Out
Bee Gees,More Than A Woman
Bee Gees,"Night Fever - From ""Saturday Night Fever"" Soundtrack"
Bee Gees,Nights On Broadway
Bee Gees,Stayin Alive
Bee Gees,Tragedy
Bee Gees,You Should Be Dancing
Blue Magic,Answer to My Prayer
Blue Magic,Just Don't Want to Be Lonely
Blue Magic,Look Me Up
Blue Magic,Sideshow
Blue Magic,Since You've Been Gone
Blue Magic,Spell
Blue Magic,Stop to Start
Blue Magic,Tear It Down
Blue Magic,Welcome to the Club
Blue Magic,What's Come over Me
Bohannon,Bohannon's Beat (Part 1) - Single Version - Bonus Track
Bohannon,Disco Stomp
Bohannon,Foot-Stompin Music
Bohannon,Let's Start The Dance
Bohannon,Party People
Bohannon,Save Their Souls
Boney M.,Brown Girl in the Ring
Boney M.,Daddy Cool
Boney M.,Ma Baker
Boney M.,Mary's Boy Child / Oh My Lord
Boney M.,Rasputin
Boney M.,Rivers of Babylon
Boney M.,Sunny
Candi Staton,Hallelujah Anyway - Larse VIP
Candi Staton,He Called Me Baby
Candi Staton,Young Hearts Run Free
Candi Staton,Young Hearts Run Free - Re-Recorded
Carol Douglas,A Hurricane Is Coming Tonight
Carol Douglas,Baby Don't Let This Good Love Die
Carol Douglas,Burnin'
Carol Douglas,Doctor's Orders
Carol Douglas,Fell in Love for the First Time Today - Remix
Carol Douglas,Headline News
Carol Douglas,I Got the Answer (John Morales Disco Remix)
Carol Douglas,Midnight Love Affair
Carol Douglas,My Simple Heart
Carol Douglas,Will We Make It Tonight
Cerrone,Cerrone's Paradise
Cerrone,Give Me Love - 1977
Cerrone,Je Suis Music - Armand Van Helden Remix Edit
Cerrone,Look for Love
Cerrone,Love In C Minor - Franc Moody Remix
Cerrone,Midnight Madness
Cerrone,Rock Me
Cerrone,Supernature
Chaka Khan,I'm Every Woman
Cheryl Lynn,All My Lovin'
Cheryl Lynn,Daybreak (Storybook Children)
Cheryl Lynn,Give My Love to You
Cheryl Lynn,Got to Be Real
Cheryl Lynn,If This World Were Mine (with Luther Vandross)
Cheryl Lynn,Keep It Hot
Cheryl Lynn,Shake It Up Tonight
Cheryl Lynn,Star Love
Cheryl Lynn,You Saved My Day
CHIC,Chic Cheer - 2018 Remaster
CHIC,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)"
CHIC,Everybody Dance
CHIC,Good Times
CHIC,I Want Your Love
CHIC,I'll Be There (feat. Nile Rodgers) - Single Version
CHIC,Le Freak
CHIC,My Forbidden Lover
CHIC,Rebels Are We
Claudja Barry,(Boogie Woogie) Dancin' Shoes
Claudja Barry,Down and Counting 2008 - Club Mix
Claudja Barry,"Johnny, Johnny (Please Come Home) - A Tom Moulton Mix"
Claudja Barry,Love for the Sake of Love - A Tom Moulton Mix
Claudja Barry,Work Me Over
Claudja Barry,You Make Me Feel the Fire
Commodores,Brick House
Commodores,Easy
Commodores,Lady (You Bring Me Up)
Commodores,Machine Gun
Commodores,Nightshift
Commodores,Oh No
Commodores,Sail On
Commodores,Say Yeah
Commodores,Three Times A Lady
Commodores,Too Hot Ta Trot
Crown Heights Affair,Dancin'
Crown Heights Affair,Dreaming a Dream (Disco)
Crown Heights Affair,Every Beat of My Heart (New Disco Version)
Crown Heights Affair,Far Out
Crown Heights Affair,Galaxy of Love
Crown Heights Affair,I Don't Want to Change You
Crown Heights Affair,Say a Prayer for Two (12 Inch Mix)
Crown Heights Affair,Sure Shot
Crown Heights Affair,Wine and Dine You
Crown Heights Affair,You Gave Me Love
Curtis Mayfield,Between You Baby and Me
Curtis Mayfield,Do Do Wap Is Strong in Here
Curtis Mayfield,Freddie's Dead - Theme From 'Superfly'; Single Mix
Curtis Mayfield,Future Shock
Curtis Mayfield,Kung Fu
Curtis Mayfield,Move On Up
Curtis Mayfield,Pusherman
Curtis Mayfield,So in Love
Curtis Mayfield,Superfly
D-Train,Just Another Night - Without Your Love
D-Train,Keep Giving Me Love
D-Train,Keep On
D-Train,Something's On Your Mind
D-Train,The Shadow of Your Smile
D-Train,Walk On By
D-Train,You're the One for Me
D-Train,You're the Reason
Dan Hartman,I Can Dream About You
Dan Hartman,Instant Replay
Dan Hartman,Relight My Fire - Single Version
Detroit Emeralds,Baby Let Me Take You (In My Arms)
Detroit Emeralds,Do Me Right
Detroit Emeralds,Feel The Need In Me
Detroit Emeralds,Holding On
Detroit Emeralds,I Think Of You
Detroit Emeralds,If I Lose Your Love
Detroit Emeralds,You're Getting A Little Too Smart
Diana Ross,Chain Reaction
Diana Ross,I Thought It Took A Little Time (But Today I Fell In Love)
Diana Ross,I'm Coming Out
Diana Ross,It's My House
Diana Ross,Love Hangover
Diana Ross,The Boss
Diana Ross,Upside Down
Diana Ross,Where Did We Go Wrong
Diana Ross,Work That Body
Donna Summer,Bad Girls
Donna Summer,Dim All The Lights
Donna Summer,Heaven Knows
Donna Summer,Hot Stuff
Donna Summer,I Feel Love
Donna Summer,Last Dance
Donna Summer,Love To Love You Baby
Donna Summer,MacArthur Park - Single Version
Donna Summer,On The Radio
Donna Summer,Sunset People
"Earth, Wind & Fire",After the Love Has Gone
"Earth, Wind & Fire","Boogie Wonderland (with The Emotions) - 12"" Version"
"Earth, Wind & Fire",Fantasy
"Earth, Wind & Fire",Getaway
"Earth, Wind & Fire",In the Stone
"Earth, Wind & Fire",Let's Groove
"Earth, Wind & Fire",September
"Earth, Wind & Fire",Serpentine Fire
"Earth, Wind & Fire",Shining Star
"Earth, Wind & Fire",Sing a Song
"Ecstasy, Passion & Pain",Ask Me
"Ecstasy, Passion & Pain","Touch and Go - 12"" Version"
Eddie Kendricks,Boogie Down
Eddie Kendricks,Date With The Rain
Eddie Kendricks,Get The Cream Off The Top
Eddie Kendricks,Girl You Need A Change Of Mind
Eddie Kendricks,He's A Friend
Eddie Kendricks,Intimate Friends
Eddie Kendricks,Keep On Truckin'
Eddie Kendricks,Old Home Town
Eddie Kendricks,One Tear
Eddie Kendricks,Tell Her Love Has Felt The Need
Edwin Starr,Contact - Extended Mix
Edwin Starr,Funky Music Sho Nuff Turns Me On
Edwin Starr,H.A.P.P.Y. Radio - Rerecorded
Edwin Starr,I Am The Man For You Baby
Edwin Starr,Running Back And Forth
Edwin Starr,Twenty Five Miles
Edwin Starr,War
"Evelyn ""Champagne"" King",Back to Love
"Evelyn ""Champagne"" King","Give It Up - 7"" Single Version"
"Evelyn ""Champagne"" King",I Think My Heart Is Telling
"Evelyn ""Champagne"" King",I'm In Love
"Evelyn ""Champagne"" King",If You Want My Lovin'
"Evelyn ""Champagne"" King",Love Come Down
"Evelyn ""Champagne"" King",Shake Down
"Evelyn ""Champagne"" King",Shame
"Evelyn ""Champagne"" King","Take a Chance - 7"""
Fatback Band,(Are You Ready) Do the Bus Stop
Fatback Band,Backstrokin'
Fatback Band,Gotta Get My Hands on Some (Money)
Fatback Band,I Found Lovin'
Fatback Band,I Like Girls
Fatback Band,King Tim III (Personality Jock)
Fatback Band,Spanish Hustle
First Choice,Armed and Extremely Dangerous
First Choice,"Doctor Love (Tom Moulton 12"" Mix)"
First Choice,Let No Man Put Asunder
First Choice,Love and Happiness
First Choice,Love Thang
First Choice,Newsy Neighbors
First Choice,Smarty Pants
First Choice,The Player
France Joli,Come to Me
France Joli,Feel Like Dancing
France Joli,Gonna Get Over You
France Joli,Party Lights
G.Q.,Boogie Oogie Oogie
G.Q.,Disco Nights (Rock Freak)
G.Q.,I Do Love You
G.Q.,It's Your Love
G.Q.,Make My Dreams a Reality
G.Q.,Spirit
G.Q.,This Happy Feeling
G.Q.,Wonderful
Gino Soccio,Dance to Dance
Gino Soccio,Dancer
Gino Soccio,Hold Tight
Gino Soccio,It's Alright
Gino Soccio,Remember
Gino Soccio,The Visitors (Original)
Gino Soccio,Try It Out
Gino Soccio,Who Dunnit?
Grace Jones,I Need A Man
Grace Jones,La vie en rose
Grace Jones,Love On Top Of Love
Grace Jones,My Jamaican Guy
Grace Jones,Private Life
Grace Jones,Pull Up To The Bumper
Grace Jones,Slave To The Rhythm - Hot Blooded Version
Grace Jones,Walking In The Rain
Grace Jones,Warm Leatherette
Harold Melvin & The Blue Notes,Bad Luck (feat. Teddy Pendergrass)
Harold Melvin & The Blue Notes,Don't Leave Me This Way (feat. Teddy Pendergrass)
Harold Melvin & The Blue Notes,If You Don't Know Me by Now (feat. Teddy Pendergrass)
Harold Melvin & The Blue Notes,Satisfaction Guaranteed (Or Take Your Love Back) (feat. Teddy Pendergrass)
Harold Melvin & The Blue Notes,Tell the World How I Feel About 'Cha Baby (feat. Teddy Pendergrass)
Harold Melvin & The Blue Notes,The Love I Lost (feat. Teddy Pendergrass)
Harold Melvin & The Blue Notes,Wake Up Everybody (feat. Teddy Pendergrass)
Harold Melvin & The Blue Notes,Where Are All My Friends (feat. Teddy Pendergrass)
Harold Melvin & The Blue Notes,You Know How to Make Me Feel so Good (feat. Sharon Paige)
Heatwave,Always and Forever
Heatwave,Boogie Nights
Heatwave,Gangsters of the Groove - Single Version
Heatwave,Lettin' It Loose
Heatwave,Look After Love
Heatwave,Mind Blowing Decisions
Heatwave,Posin' 'Til Closin'
Heatwave,The Big Guns
Heatwave,The Groove Line
Honey Cone,Girls It Ain't Easy
Honey Cone,Innocent 'Til Proven Guilty
Honey Cone,One Monkey Don't Stop No Show - Pt. 1
Honey Cone,Stick Up
Honey Cone,The Day I Found Myself - Single Version
Honey Cone,Want Ads
Hues Corporation,Love Corporation
Hues Corporation,Rock the Boat
Isaac Hayes,Disco Connection
Isaac Hayes,Don't Let Go
Isaac Hayes,Hung Up On My Baby
Isaac Hayes,I Can't Turn Around
Isaac Hayes,Medley: I Just Want To Make Love To You/Rock Me Baby
Isaac Hayes,Run Fay Run
Isaac Hayes,The Look Of Love
Isaac Hayes,Theme From Shaft - Remastered 2009
Jackie Moore,How's Your Love Life Baby - Single Version
Jackie Moore,Let's go Somewhere and Make Love
Jackie Moore,Personally
Jackie Moore,This Time Baby
Jackie Moore,This Time Baby - Single Version
James Brown,Funky Drummer - Pt. 1 & 2
James Brown,Get Up (I Feel Like Being A) Sex Machine
James Brown,Get Up Offa That Thing
James Brown,Give It Up Or Turnit A Loose - Remix
James Brown,Hot Pants (She Got To Use What She Got To Get What She Wants)
James Brown,Papa Don't Take No Mess
James Brown,Soul Power
James Brown,Super Bad - Pts.1 & 2
James Brown,Talking Loud And Saying Nothing - Part 1 & 2
James Brown,The Payback
John Davis & The Monster Orchestra,AIN't THAT ENOUGH FOR YOU
John Davis & The Monster Orchestra,"BOURGIE, BOURGIE"
John Davis & The Monster Orchestra,DISCO FEVER
John Davis & The Monster Orchestra,"Love Magic - 12"" Club Mix"
John Davis & The Monster Orchestra,Night & Day - Original Mix
John Davis & The Monster Orchestra,The Magic Is You (Medley) - Original Mix
John Davis & The Monster Orchestra,UP JUMPED THE DEVIL
KC & The Sunshine Band,"(Shake, Shake, Shake) Shake Your Booty"
LaBelle,(Can I Speak to You Before You Go To) Hollywood
LaBelle,Lady Marmalade
LaBelle,Mr. Music Man
LaBelle,What Can I Do For You?
Lime,Angel Eyes
Lime,"Babe, We're Gonna Love Tonight - Jacques Greene Remix"
Lime,Guilty
Lime,The Party's Over
Lime,Your Love - Radio Edit
Linda Clifford,If My Friends Could See Me Now - Remastered
Linda Clifford,Never Gonna Stop - Remastered
Linda Clifford,Red Light
Linda Clifford,Runaway Love
Linda Clifford,Shoot Your Best Shot
Lipps Inc.,All Night Dancing
Lipps Inc.,Designer Music
Lipps Inc.,Funkytown
Lipps Inc.,How Long
Loleatta Holloway,Can't Let You Go - Louie Vega & Josh Milan Truth Dub 1
Loleatta Holloway,Casanova
Loleatta Holloway,Crash Goes Love (Blaster Mix)
Loleatta Holloway,Cry to Me
Loleatta Holloway,Dreamin'
