id_transacao,vendas_diarias,itens_vendidos,tempo_atendimento,avaliacao_cliente,custo_operacional,data
1,4715.16,3,0.1,4.1,2173.42,2025-01-01
2,2622.45,6,22.9,4.3,1544.11,2025-01-02
3,3740.94,4,26.8,4.6,1382.52,2025-01-03
4,3447.83,5,32.4,4.4,1980.34,2025-01-04
5,4501.44,5,0.1,3.1,2548.23,2025-01-05
6,2993.62,7,1.9,4.1,982.78,2025-01-06
7,2605.6,5,10.6,4.1,1386.53,2025-01-07
8,2568.19,3,0.3,4.9,1055.35,2025-01-08
9,4706.43,4,0.7,3.1,1845.26,2025-01-09
10,2643.05,7,2.5,1.9,1092.13,2025-01-10
11,3274.18,5,7.2,4.7,1386.71,2025-01-11
12,1895.92,7,7.9,4.9,1016.49,2025-01-12
13,3149.29,8,0.3,4.8,1767.81,2025-01-13
14,4412.36,7,1.9,4.3,2272.24,2025-01-14
15,2314.27,5,6.9,4.9,1442.75,2025-01-15
16,2541.07,8,9.0,1.4,1228.42,2025-01-16
17,4251.71,4,1.6,3.9,1209.7,2025-01-17
18,3661.75,6,5.1,4.0,1714.36,2025-01-18
19,4648.6,8,23.5,4.3,2585.92,2025-01-19
20,4127.48,6,68.1,4.0,926.74,2025-01-20
21,3882.64,3,43.6,4.0,2146.93,2025-01-21
22,1759.47,8,21.3,3.5,709.22,2025-01-22
23,3719.68,4,5.0,3.3,2361.11,2025-01-23
24,3037.92,7,11.6,4.9,1431.89,2025-01-24
25,2520.5,2,5.4,4.6,727.41,2025-01-25
26,3488.47,10,10.5,3.4,1961.76,2025-01-26
27,1503.37,6,3.7,4.9,910.51,2025-01-27
28,2299.51,4,9.3,4.9,966.29,2025-01-28
29,2248.1,5,7.4,4.8,1332.06,2025-01-29
30,3278.07,6,0.2,3.1,2026.55,2025-01-30
31,2800.77,4,15.6,4.5,1089.83,2025-01-31
32,3461.66,5,0.1,4.5,845.24,2025-02-01
33,2003.41,6,3.5,4.2,889.44,2025-02-02
34,3431.13,3,0.1,3.5,1452.92,2025-02-03
35,2550.03,7,4.7,4.5,1192.38,2025-02-04
36,3842.52,7,0.7,1.8,1165.27,2025-02-05
37,2445.67,8,24.5,1.9,1244.19,2025-02-06
38,2815.25,4,5.4,4.7,1105.82,2025-02-07
39,3569.29,7,6.2,4.9,1455.07,2025-02-08
40,3343.69,3,4.3,2.5,1473.36,2025-02-09
41,2846.11,4,9.9,3.3,1218.49,2025-02-10
42,3010.07,4,15.3,3.5,911.71,2025-02-11
43,3574.03,0,10.4,4.5,1551.91,2025-02-12
44,2292.91,1,13.8,2.0,1171.16,2025-02-13
45,2539.49,1,23.6,2.6,819.48,2025-02-14
46,4517.43,7,19.9,3.3,1676.5,2025-02-15
47,2195.19,5,11.2,4.4,914.47,2025-02-16
48,2747.78,5,2.4,3.6,1253.41,2025-02-17
49,2788.27,8,10.2,4.8,1252.15,2025-02-18
50,3590.77,38,7.1,2.7,1817.81,2025-02-19
51,2969.89,5,12.6,1.5,1022.92,2025-02-20
52,3486.32,3,17.9,4.3,2039.66,2025-02-21
53,3545.56,5,13.6,3.8,1118.61,2025-02-22
54,3919.42,1,18.7,1.8,2150.7,2025-02-23
55,2519.83,7,0.7,5.0,1599.37,2025-02-24
56,1334.46,2,0.3,4.7,97.12,2025-02-25
57,3079.47,4,3.0,4.4,623.83,2025-02-26
58,9480.69,6,23.1,3.7,4657.04,2025-02-27
59,3077.66,7,17.4,4.4,1464.41,2025-02-28
60,4500.94,9,11.5,2.9,2691.95,2025-03-01
61,2812.69,4,12.1,3.5,1187.04,2025-03-02
62,3047.37,1,13.0,5.0,1624.53,2025-03-03
63,3378.59,4,28.6,3.3,1835.95,2025-03-04
64,4044.38,6,17.8,3.9,2493.39,2025-03-05
65,2549.02,3,9.8,3.2,1168.59,2025-03-06
66,4122.24,4,11.0,3.0,2138.58,2025-03-07
67,2923.15,2,2.4,4.6,1053.82,2025-03-08
68,2947.14,6,10.7,4.8,1651.15,2025-03-09
69,2824.26,8,5.5,3.1,1509.43,2025-03-10
70,1676.11,7,1.7,2.3,875.96,2025-03-11
71,3010.4,2,16.4,4.5,965.31,2025-03-12
72,4162.71,6,7.1,1.5,2250.8,2025-03-13
73,3330.35,9,37.9,3.8,1613.88,2025-03-14
74,2784.89,3,3.3,1.6,1239.28,2025-03-15
75,4063.32,8,6.6,4.7,1644.87,2025-03-16
76,12818.58,7,5.9,4.5,6558.97,2025-03-17
77,2923.76,6,1.3,5.0,1586.74,2025-03-18
78,14368.9,10,5.6,3.7,5044.02,2025-03-19
79,2361.36,5,3.4,4.0,1265.51,2025-03-20
80,2616.66,5,1.7,3.6,1564.98,2025-03-21
81,2490.09,5,3.3,5.0,1258.76,2025-03-22
82,2550.17,5,2.7,4.2,1056.92,2025-03-23
83,2624.42,4,13.2,3.8,1191.14,2025-03-24
84,1851.31,10,0.3,2.4,747.36,2025-03-25
85,4268.81,3,9.6,3.2,1740.18,2025-03-26
86,3260.91,2,14.3,4.5,932.57,2025-03-27
87,3956.04,6,6.6,4.3,1500.06,2025-03-28
88,1620.07,4,26.8,4.0,889.18,2025-03-29
89,2575.6,4,12.3,4.3,692.41,2025-03-30
90,2216.99,8,13.8,2.6,910.6,2025-03-31
91,3908.45,5,2.2,3.0,1841.8,2025-04-01
92,2367.62,4,15.0,4.3,1040.0,2025-04-02
93,3383.18,7,17.8,3.4,1177.29,2025-04-03
94,2989.2,4,4.5,4.4,1053.23,2025-04-04
95,2489.81,2,2.4,2.2,1288.25,2025-04-05
96,4045.71,2,4.9,2.5,1594.0,2025-04-06
97,3097.61,3,13.5,4.8,1074.08,2025-04-07
98,2631.49,3,5.4,4.6,1721.35,2025-04-08
99,4401.82,8,13.3,4.4,1778.11,2025-04-09
100,2558.22,6,1.2,4.4,1402.13,2025-04-10
101,3668.55,0,16.4,2.7,1459.19,2025-04-11
102,3960.97,8,2.9,5.0,1054.34,2025-04-12
103,3518.97,5,2.9,3.8,2180.52,2025-04-13
104,3270.08,4,8.9,4.8,1464.32,2025-04-14
105,2737.87,5,0.7,3.0,1320.7,2025-04-15
106,4105.73,7,0.3,3.9,1631.43,2025-04-16
107,1817.18,6,3.0,2.3,553.3,2025-04-17
108,3502.68,3,7.7,4.0,1964.56,2025-04-18
109,2886.1,4,23.8,3.4,1156.35,2025-04-19
110,2797.95,2,18.7,2.2,1282.62,2025-04-20
111,1912.12,4,6.7,3.9,488.27,2025-04-21
112,2207.57,1,0.4,2.1,1103.18,2025-04-22
113,2380.97,9,7.7,4.9,855.77,2025-04-23
114,2632.51,3,12.2,4.1,1566.54,2025-04-24
115,3286.23,1,4.1,4.1,1296.5,2025-04-25
116,1631.87,5,1.2,3.2,677.74,2025-04-26
117,2617.0,4,3.3,5.0,1287.02,2025-04-27
118,3281.64,6,14.8,4.7,1111.74,2025-04-28
119,2362.48,5,4.3,3.8,1268.38,2025-04-29
120,2401.21,8,16.7,3.5,624.24,2025-04-30
121,3491.33,5,3.8,4.3,1096.08,2025-05-01
122,3760.34,7,1.8,2.8,1996.7,2025-05-02
123,3476.13,4,5.7,3.8,803.05,2025-05-03
124,3825.48,1,6.0,3.5,961.78,2025-05-04
125,2947.4,5,0.2,4.9,1802.76,2025-05-05
126,2377.36,4,1.2,3.8,1202.94,2025-05-06
127,4084.51,3,2.0,4.6,1636.97,2025-05-07
128,3231.33,2,1.2,4.8,1201.17,2025-05-08
129,3185.64,12,4.2,4.7,1897.67,2025-05-09
130,1637.93,5,33.4,1.9,761.5,2025-05-10
131,2955.56,10,7.1,4.9,1370.47,2025-05-11
132,3830.03,6,9.9,3.0,1015.41,2025-05-12
133,3069.27,1,4.4,4.7,1375.16,2025-05-13
134,2598.36,6,3.9,4.3,790.63,2025-05-14
135,3895.66,2,0.2,2.0,982.71,2025-05-15
136,2397.01,4,6.9,3.7,693.93,2025-05-16
137,2920.66,5,6.6,3.8,687.08,2025-05-17
138,3289.12,8,1.7,2.7,1331.34,2025-05-18
139,4076.34,4,14.5,4.2,1823.34,2025-05-19
140,3739.22,2,6.8,2.9,1741.4,2025-05-20
141,1841.59,1,4.1,3.2,590.1,2025-05-21
142,2328.63,8,1.6,4.4,1048.99,2025-05-22
143,4218.42,8,8.0,3.0,1259.01,2025-05-23
144,3259.33,4,14.0,2.8,1380.55,2025-05-24
145,1724.46,1,3.3,5.0,570.71,2025-05-25
146,2610.3,9,2.5,3.8,1253.4,2025-05-26
147,3167.09,4,7.4,3.8,1502.9,2025-05-27
148,1779.58,2,1.7,4.7,996.74,2025-05-28
149,1881.15,4,11.0,4.9,971.89,2025-05-29
150,4153.02,3,9.3,4.0,2816.24,2025-05-30
151,1754.7,8,0.9,4.7,532.67,2025-05-31
152,3469.49,9,0.4,2.8,2424.3,2025-06-01
153,3138.54,4,9.7,3.7,1623.73,2025-06-02
154,2752.66,4,3.5,3.9,1624.99,2025-06-03
155,3597.0,5,0.9,4.7,2041.53,2025-06-04
156,3091.38,11,14.2,1.8,756.97,2025-06-05
157,2667.77,8,3.8,3.1,1484.43,2025-06-06
158,3823.32,6,6.2,3.2,2085.75,2025-06-07
159,904.2,2,2.7,4.6,447.29,2025-06-08
160,2510.79,8,9.9,2.7,546.01,2025-06-09
161,2134.76,7,3.6,4.7,746.7,2025-06-10
162,3629.67,6,34.4,5.0,2149.85,2025-06-11
163,2575.2,5,12.1,4.8,1600.73,2025-06-12
164,2440.22,3,1.5,4.1,1207.9,2025-06-13
165,2477.9,5,5.4,3.2,1089.13,2025-06-14
166,3489.34,3,4.9,3.4,1576.95,2025-06-15
167,2718.79,3,7.6,2.7,1136.54,2025-06-16
168,2973.8,7,18.4,4.8,1852.24,2025-06-17
169,2478.72,4,8.8,4.8,1027.04,2025-06-18
170,3008.19,4,0.6,1.6,1521.67,2025-06-19
171,2373.4,6,10.7,4.5,1268.78,2025-06-20
172,3650.29,6,0.1,2.8,1857.49,2025-06-21
173,4153.25,3,15.1,4.1,2275.91,2025-06-22
174,4315.97,4,11.0,4.6,2028.6,2025-06-23
175,2482.74,6,3.7,4.4,1387.75,2025-06-24
176,1300.88,6,3.5,3.4,637.06,2025-06-25
177,3492.75,6,16.0,5.0,1947.22,2025-06-26
178,2796.02,6,15.3,4.7,1676.11,2025-06-27
179,2039.76,3,4.3,3.6,465.38,2025-06-28
180,3207.78,5,3.6,5.0,1349.9,2025-06-29
181,3208.84,2,8.2,1.8,1476.26,2025-06-30
182,2940.45,5,0.1,4.4,1137.1,2025-07-01
183,2043.03,3,0.9,4.4,1109.16,2025-07-02
184,1862.2,3,1.3,4.6,729.82,2025-07-03
185,3054.85,5,2.1,4.9,1554.26,2025-07-04
186,3057.25,11,7.2,5.0,1837.18,2025-07-05
187,3852.38,7,48.6,4.2,1763.74,2025-07-06
188,3046.57,7,10.6,4.5,1520.54,2025-07-07
189,3060.64,4,0.6,4.9,1596.72,2025-07-08
190,4230.43,1,7.5,4.9,2340.91,2025-07-09
191,3873.21,4,6.9,4.8,1729.56,2025-07-10
192,3858.91,5,1.6,3.4,2188.33,2025-07-11
193,2702.85,4,25.3,3.2,1678.37,2025-07-12
194,12247.78,4,5.8,4.3,3972.56,2025-07-13
195,2643.6,7,52.1,4.9,863.31,2025-07-14
196,3556.97,6,5.4,2.9,1659.58,2025-07-15
197,2653.95,8,9.4,3.1,828.59,2025-07-16
198,1158.46,4,1.1,4.8,483.19,2025-07-17
199,3786.15,3,6.1,3.9,1655.22,2025-07-18
200,3162.77,0,2.7,2.6,845.79,2025-07-19
201,2766.65,4,18.1,3.7,789.27,2025-07-20
202,4492.62,1,15.3,4.5,2437.81,2025-07-21
203,3054.02,4,17.4,4.5,1273.36,2025-07-22
204,3175.32,3,12.9,4.0,1397.85,2025-07-23
205,1968.03,5,17.9,4.6,1379.15,2025-07-24
206,2985.19,6,2.2,3.8,931.39,2025-07-25
207,4357.17,6,6.0,2.8,1464.17,2025-07-26
208,3076.9,4,11.8,5.0,2038.62,2025-07-27
209,4403.84,4,10.1,4.4,2390.48,2025-07-28
210,2322.57,5,12.6,4.1,824.32,2025-07-29
211,3393.96,1,2.5,4.3,2115.16,2025-07-30
212,2288.39,9,1.0,4.6,1381.87,2025-07-31
213,2281.27,7,24.9,4.5,578.84,2025-08-01
214,1897.86,5,8.2,4.6,657.68,2025-08-02
215,2759.12,4,1.7,4.6,1448.37,2025-08-03
216,3263.0,5,15.8,4.9,1505.06,2025-08-04
217,3681.95,4,24.6,4.9,1346.3,2025-08-05
218,3301.77,1,1.9,3.4,1339.51,2025-08-06
219,4017.24,3,17.0,3.7,2133.61,2025-08-07
220,2591.03,7,27.1,1.6,1102.4,2025-08-08
221,2079.21,6,27.9,2.8,1084.49,2025-08-09
222,13810.37,10,24.6,4.5,7024.48,2025-08-10
223,2934.28,4,7.9,2.5,1415.18,2025-08-11
224,2899.37,5,4.4,4.5,1030.74,2025-08-12
225,2624.66,6,0.1,4.1,1607.13,2025-08-13
226,3085.14,6,0.6,3.5,1423.65,2025-08-14
227,6082.19,8,5.6,2.2,3377.97,2025-08-15
228,3787.46,4,5.1,3.9,2065.74,2025-08-16
229,2100.29,3,2.0,4.3,811.7,2025-08-17
230,4404.27,3,5.0,3.9,2293.11,2025-08-18
231,2819.38,9,1.9,3.2,1702.56,2025-08-19
232,13238.85,7,18.9,4.7,7335.67,2025-08-20
233,3237.59,2,3.5,2.7,1677.54,2025-08-21
